date,caap.cases.4,rsv.caap.cases.4,caap.cases.4.11,rsv.caap.cases.4.11,caap.cases.6,caap.cases.6.J,caap.cases.6.B,rsv.caap.cases.6,rsv.caap.cases.6.J,rsv.caap.cases.6.B,caap.cases.6.11,caap.cases.6.11.J,caap.cases.6.11.B,rsv.caap.cases.6.11,rsv.caap.cases.6.11.J,rsv.caap.cases.6.11.B,caap.cases.12,caap.cases.12.J,caap.cases.12.B,rsv.caap.cases.12,rsv.caap.cases.12.J,rsv.caap.cases.12.B,bronch.cases.6.J,bronch.cases.6.B,bronch.cases.6,rsv.bronch.cases.6.J,rsv.bronch.cases.6.B,rsv.bronch.cases.6,bronch.cases.6.11.J,bronch.cases.6.11.B,bronch.cases.6.11,rsv.bronch.cases.6.11.J,rsv.bronch.cases.6.11.B,rsv.bronch.cases.6.11,bronch.cases.12,bronch.cases.12.J,bronch.cases.12.B,rsv.bronch.cases.12,rsv.bronch.cases.12.J,rsv.bronch.cases.12.B,pop.12,pop.12.J,pop.12.B,caap.cases.12.23,rsv.caap.cases.12.23,pop.12.23,caap.cases.24.59,rsv.caap.cases.24.59,pop.24.59,caap.cases.60,rsv.caap.cases.60,pop.60,caap.cases.4.J,caap.cases.4.B,rsv.caap.cases.4.J,rsv.caap.cases.4.B,caap.cases.4.11.J,caap.cases.4.11.B,rsv.caap.cases.4.11.J,rsv.caap.cases.4.11.B,bronch.cases.4.J,bronch.cases.4.B,bronch.cases.4,bronch.cases.4.11.J,bronch.cases.4.11.B,bronch.cases.4.11,rsv.bronch.cases.4.J,rsv.bronch.cases.4.B,rsv.bronch.cases.4,rsv.bronch.cases.4.11.J,rsv.bronch.cases.4.11.B,rsv.bronch.cases.4.11
2014-04-01,4,3,4,1,4,1,3,2,1,2,4,0,4,2,0,2,8,1,7,4,1,3,5,21,26,1,16,17,2,8,10,0,7,7,36,7,29,24,1,22,17494,8891,8603,11,2,16994,2,0,48794,21,5,83282,1,3,1,2,1,4,0,1,5,16,21,2,13,15,1,13,14,0,10,10
2014-05-01,0,0,6,1,4,1,3,1,0,1,2,1,1,0,0,0,6,2,4,1,0,1,1,5,6,0,3,3,0,0,0,0,0,0,6,1,5,3,0,3,17544,8905,8639,4,0,17010,4,0,48901,14,1,83455,0,0,0,0,0,4,0,1,0,4,4,1,1,2,0,2,2,0,1,1
2014-06-01,5,2,3,0,5,1,4,2,0,2,3,1,2,0,0,0,8,2,6,2,0,2,1,11,12,0,9,9,0,3,3,0,2,2,15,1,14,10,0,10,17594,8920,8675,6,0,17027,5,0,49007,19,2,83628,1,4,0,2,1,2,0,0,1,10,11,0,4,4,0,8,8,0,3,3
2014-07-01,3,1,3,0,4,1,3,0,0,0,2,0,2,0,0,0,6,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17645,8934,8711,4,0,17044,3,0,49113,13,0,83801,1,2,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2014-08-01,1,1,3,0,2,0,2,1,0,1,2,0,2,0,0,0,4,0,4,1,0,1,0,6,6,0,2,2,0,0,0,0,0,0,6,0,6,2,0,2,17699,8955,8744,2,0,17094,2,0,49212,8,1,84004,0,1,0,1,0,3,0,0,0,5,5,0,1,1,0,2,2,0,0,0
2014-09-01,2,1,2,0,3,0,3,2,0,2,1,0,1,0,0,0,4,0,4,2,0,2,1,4,5,0,3,3,1,1,2,0,1,1,7,2,5,4,0,4,17753,8976,8777,1,0,17144,5,3,49311,10,4,84207,0,2,0,1,0,2,0,0,1,3,4,1,2,3,0,2,2,0,2,2
2014-10-01,2,1,4,3,4,0,4,3,0,3,2,2,0,0,0,0,6,2,4,3,0,3,0,11,11,0,8,8,0,5,5,0,4,4,16,0,16,11,0,11,17807,8997,8810,3,0,17194,7,2,49410,16,6,84411,0,2,0,1,0,2,1,2,0,11,11,0,5,5,0,8,8,0,4,4
2014-11-01,11,9,13,7,15,1,14,11,1,10,9,2,7,6,1,5,24,3,21,16,2,14,12,48,60,12,42,54,7,13,20,7,10,17,80,19,61,71,19,52,17861,9018,8843,8,3,17244,7,2,49509,39,22,84614,0,11,0,9,0,10,2,5,8,37,45,11,24,35,8,33,41,11,19,30
2014-12-01,36,30,32,25,44,10,34,35,9,25,24,15,9,21,13,8,68,25,43,55,22,33,61,153,214,55,127,183,39,24,63,38,20,58,277,100,177,241,94,148,17915,9038,8876,16,9,17294,13,9,49608,97,73,84817,6,30,5,24,6,13,16,9,46,120,166,54,57,111,44,104,148,49,44,93
2015-01-01,32,23,28,20,39,10,29,28,7,22,21,8,13,15,5,10,60,18,42,44,11,32,34,104,138,26,85,111,9,22,31,7,16,23,169,43,126,134,33,101,17969,9059,8910,8,4,17344,7,4,49707,75,52,85020,8,24,4,19,8,18,7,14,27,81,108,16,45,61,22,68,90,11,33,44
2015-02-01,6,2,10,3,9,2,7,4,0,4,7,3,4,1,0,1,16,5,11,5,0,5,9,25,34,2,17,19,6,10,16,2,5,7,50,15,35,26,4,22,18023,9080,8943,8,4,17394,9,1,49806,33,10,85223,2,4,0,2,2,7,0,3,8,16,24,7,19,26,2,12,14,2,10,11
2015-03-01,3,1,10,2,6,3,3,2,0,2,7,4,3,0,0,0,13,7,6,2,0,2,5,22,27,2,7,9,2,3,5,0,1,1,32,7,25,9,2,7,18077,9101,8976,7,2,17444,13,0,49905,33,4,85426,1,2,0,1,1,4,0,2,5,13,18,2,12,14,2,5,7,0,3,3
2015-04-01,4,1,5,1,6,0,6,2,0,2,3,2,1,0,0,0,9,2,7,2,0,2,5,14,19,0,4,4,2,2,4,0,0,0,23,7,16,4,0,4,18131,9122,9009,8,1,17494,4,0,50004,21,4,85630,0,4,0,1,0,3,0,1,3,10,13,4,6,10,0,4,4,0,0,0
2015-05-01,2,0,8,0,3,1,2,0,0,0,7,0,7,0,0,0,10,1,9,0,0,0,4,6,10,0,0,0,0,4,4,0,0,0,14,4,10,0,0,0,18185,9143,9042,5,0,17544,9,0,50103,24,0,85833,1,1,0,0,1,8,0,0,2,4,6,2,6,8,0,0,0,0,0,0
2015-06-01,1,0,8,0,3,1,2,0,0,0,6,1,5,0,0,0,9,2,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18239,9164,9075,2,0,17594,7,0,50202,18,0,86036,1,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2015-07-01,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,18293,9185,9109,2,0,17645,3,0,50302,7,0,86239,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2015-08-01,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,18349,9221,9128,5,0,17699,3,0,50404,10,0,86452,0,0,0,0,0,2,0,0,1,4,5,0,0,0,0,0,0,0,0,0
2015-09-01,1,0,3,0,1,0,1,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,2,2,0,0,0,0,2,2,0,2,2,4,0,4,2,0,2,18406,9258,9148,6,1,17753,4,0,50507,14,1,86665,0,1,0,0,0,3,0,0,0,2,2,0,2,2,0,0,0,0,1,1
2015-10-01,2,0,7,1,3,1,2,0,0,0,6,3,3,1,1,0,9,4,5,1,1,0,2,2,4,2,0,2,2,1,3,1,0,1,7,4,3,3,3,0,18462,9295,9167,4,1,17807,3,1,50609,16,3,86878,1,1,0,0,1,4,1,0,1,1,2,3,2,5,1,0,1,2,0,2
2015-11-01,5,4,15,12,9,5,4,7,5,2,11,6,5,9,6,3,20,11,9,16,11,5,21,22,43,21,14,35,10,12,22,7,7,14,65,31,34,48,27,21,18518,9332,9187,12,5,17861,9,4,50712,41,25,87090,3,2,3,1,3,7,8,4,14,17,31,17,17,34,14,10,24,13,10,24
2015-12-01,24,17,27,19,36,9,27,27,9,18,15,2,13,9,2,7,51,11,40,36,11,25,41,72,113,37,60,97,16,17,33,14,14,28,146,57,89,125,51,74,18574,9368,9206,25,19,17915,19,8,50814,95,63,87303,4,20,4,13,4,20,7,12,29,56,85,28,33,61,26,45,72,25,28,53
2016-01-01,22,17,33,23,34,5,29,26,5,21,21,5,16,13,4,10,56,10,45,40,9,31,20,72,92,17,59,76,12,19,31,11,12,23,123,32,91,99,28,71,18631,9405,9226,19,9,17969,12,3,50917,87,51,87516,3,19,3,14,3,26,6,17,15,57,72,17,34,51,12,45,58,16,25,41
2016-02-01,14,10,16,7,21,2,19,15,2,14,9,2,7,2,0,2,30,4,26,17,2,16,5,40,45,3,33,37,4,7,11,1,0,1,56,9,47,38,4,34,18687,9442,9245,20,2,18023,8,1,51019,58,21,87729,2,12,2,8,2,14,0,7,4,35,39,5,12,17,3,29,32,1,5,6
2016-03-01,6,1,15,1,9,2,7,2,0,2,12,6,6,0,0,0,21,8,13,2,0,2,1,15,16,0,2,3,8,9,17,0,4,4,33,9,24,7,0,7,18743,9479,9265,5,1,18077,17,0,51122,43,4,87942,0,6,0,1,0,7,0,1,1,11,12,8,13,21,1,2,2,0,5,5
2016-04-01,7,0,5,1,8,0,8,0,0,0,4,1,3,1,1,0,12,1,11,1,1,0,1,9,10,0,4,4,1,2,3,0,1,1,13,2,11,5,0,5,18799,9515,9284,5,0,18131,11,0,51224,28,1,88155,0,7,0,0,0,4,1,0,1,7,8,1,4,5,0,4,4,0,1,1
2016-05-01,8,0,10,1,12,3,9,1,1,0,6,1,5,0,0,0,18,4,14,1,1,0,2,4,6,0,0,0,4,4,8,2,1,3,14,6,8,3,2,1,18856,9552,9304,2,0,18185,2,0,51327,22,1,88367,1,7,0,0,1,7,1,0,1,3,4,5,5,10,0,0,0,2,0,2
2016-06-01,1,0,4,0,4,2,2,0,0,0,1,1,0,0,0,0,5,3,2,0,0,0,1,2,3,0,0,0,0,1,1,0,0,0,4,1,3,0,0,0,18912,9589,9323,4,0,18239,5,0,51429,14,0,88580,0,1,0,0,0,1,0,0,0,2,2,1,1,2,0,0,0,0,0,0
2016-07-01,1,0,3,0,2,0,2,0,0,0,2,0,2,0,0,0,4,0,4,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,18968,9626,9343,3,0,18293,6,0,51532,13,0,88793,0,1,0,0,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0
2016-08-01,2,0,3,0,4,1,3,0,0,0,1,0,1,0,0,0,5,1,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,19004,9627,9377,2,0,18349,2,0,51653,9,0,89006,1,1,0,0,1,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,1,3,4,0,0,0,12,1,11,0,0,0,19041,9629,9412,3,0,18406,6,0,51774,9,0,89220,0,0,0,0,0,0,0,0,0,6,6,1,5,6,0,0,0,0,0,0
2016-10-01,2,0,1,1,2,0,2,0,0,0,1,1,0,1,1,0,3,1,2,1,1,0,3,5,8,3,1,4,2,2,4,2,0,2,12,5,7,6,5,1,19077,9631,9446,1,0,18462,10,1,51894,14,2,89433,0,2,0,0,0,0,1,0,3,5,8,2,2,4,3,1,4,2,0,2
2016-11-01,7,3,7,4,9,2,7,4,2,2,5,2,3,3,2,1,14,4,10,7,4,3,8,14,22,6,7,12,3,6,9,3,4,7,31,11,20,19,9,11,19113,9633,9481,5,2,18518,7,1,52015,26,10,89646,2,5,2,1,2,5,2,2,7,9,16,4,11,15,6,5,10,3,6,9
2016-12-01,14,11,27,16,20,8,12,13,6,7,21,10,11,14,8,6,41,18,23,26,13,13,19,35,54,16,21,38,15,16,31,12,9,21,85,34,51,58,28,30,19149,9634,9515,15,10,18574,11,3,52136,67,40,89859,5,9,5,6,5,14,9,7,17,32,49,17,19,36,15,20,35,14,10,24
2017-01-01,35,28,48,25,53,21,32,38,15,23,30,16,14,15,8,7,83,37,46,54,23,30,57,74,131,40,55,95,21,33,54,17,19,36,185,78,107,130,57,74,19186,9636,9550,18,8,18631,15,6,52257,116,68,90073,12,23,10,19,12,23,13,11,45,54,99,33,53,86,31,43,74,25,30,55
2017-02-01,45,30,39,18,61,12,49,36,7,29,23,4,19,11,1,10,84,16,68,47,8,39,23,153,176,15,98,113,11,39,50,5,19,24,226,34,192,137,20,117,19222,9638,9584,19,4,18687,12,3,52377,115,54,90286,10,35,5,24,10,33,3,15,17,116,133,17,76,93,11,79,90,9,37,46
2017-03-01,20,10,21,6,27,1,26,12,0,12,14,4,10,4,1,3,41,5,36,16,1,15,12,48,60,6,26,31,7,15,22,0,5,5,82,19,63,37,6,31,19258,9640,9619,9,0,18743,8,2,52498,58,18,90499,0,20,0,10,0,16,1,5,9,40,49,10,23,33,5,23,28,1,8,8
2017-04-01,4,1,5,0,6,0,6,1,0,1,3,0,3,0,0,0,9,0,9,2,0,2,3,9,12,1,2,3,1,7,8,0,4,4,20,4,16,7,1,6,19294,9641,9653,4,0,18799,5,0,52619,18,2,90712,0,4,0,1,0,5,0,0,2,6,8,2,10,12,1,2,3,0,4,4
2017-05-01,1,0,5,0,3,2,1,0,0,0,3,0,3,0,0,0,6,2,4,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,4,0,4,0,0,0,19331,9643,9688,3,0,18856,1,0,52740,10,0,90926,1,0,0,0,1,4,0,0,0,3,3,0,1,1,0,0,0,0,0,0
2017-06-01,0,0,6,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,2,0,2,0,0,0,1,2,3,0,0,0,5,3,2,0,0,0,19367,9645,9722,4,0,18912,4,0,52860,14,0,91139,0,0,0,0,0,6,0,0,1,0,1,2,2,4,0,0,0,0,0,0
2017-07-01,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,3,0,3,0,0,0,19403,9647,9757,3,0,18968,1,0,52981,5,0,91352,0,0,0,0,0,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0
2017-08-01,2,0,1,0,2,0,2,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19425,9623,9802,1,0,19004,0,0,53141,4,0,91571,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,2,0,1,0,2,0,2,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,1,7,8,1,0,1,0,0,0,0,0,0,8,1,7,1,1,0,19447,9600,9847,4,0,19041,6,0,53302,13,0,91789,0,2,0,0,0,1,0,0,1,6,7,0,1,1,1,0,1,0,1,1
2017-10-01,3,0,4,0,3,0,3,0,0,0,4,3,1,0,0,0,7,3,4,0,0,0,1,8,9,1,1,2,0,2,2,0,0,0,11,1,10,2,1,1,19469,9577,9892,4,0,19077,5,0,53462,16,0,92008,0,3,0,0,0,1,0,0,1,6,7,0,4,4,1,0,1,0,2,2
2017-11-01,4,3,6,3,4,3,1,3,3,0,6,3,3,3,2,1,10,6,4,6,5,1,12,11,23,9,4,13,5,5,10,5,1,6,33,17,16,19,14,5,19491,9554,9937,8,2,19113,5,1,53623,23,9,92226,3,1,3,0,3,3,2,1,11,8,19,6,8,14,8,2,10,6,3,9
2017-12-01,20,15,18,11,26,11,15,20,10,10,12,7,5,7,5,2,38,18,20,26,14,12,55,58,113,49,42,91,28,13,41,26,8,34,154,83,71,125,75,50,19513,9531,9982,21,9,19149,10,4,53783,69,39,92445,9,11,8,8,9,9,7,4,45,48,93,38,23,61,40,34,75,34,16,50
2018-01-01,23,20,21,17,30,15,15,26,13,13,14,5,9,11,5,7,44,20,24,37,18,19,49,69,118,46,58,104,12,23,35,10,21,31,152,61,92,135,56,79,19535,9508,10027,13,7,19186,6,1,53943,63,45,92663,11,12,9,11,11,12,9,9,44,51,95,17,41,58,41,42,83,15,37,52
2018-02-01,28,21,27,15,39,3,36,30,1,29,16,4,12,7,0,7,55,7,48,37,1,36,22,130,152,16,104,120,8,35,43,4,25,29,195,30,165,148,20,128,19556,9485,10072,22,6,19222,10,2,54104,87,44,92882,3,25,1,20,3,23,0,15,17,104,121,13,61,74,13,85,98,7,44,50
2018-03-01,13,11,8,3,18,0,18,14,0,14,3,1,2,0,0,0,21,1,20,14,0,14,6,65,71,2,50,53,5,25,30,0,5,5,101,11,90,58,2,56,19578,9462,10117,14,4,19258,8,2,54264,43,21,93100,0,13,0,11,0,7,0,3,5,46,51,6,44,50,2,37,39,0,18,19
2018-04-01,4,3,5,0,5,0,5,3,0,3,4,0,4,0,0,0,9,0,9,3,0,3,1,9,10,0,3,3,5,5,10,1,0,1,20,6,14,4,1,3,19600,9438,10162,2,0,19294,6,2,54424,17,5,93319,0,4,0,3,0,5,0,0,1,8,9,5,6,11,0,3,3,1,1,2
2018-05-01,4,1,6,0,6,2,4,0,0,0,4,1,3,0,0,0,11,3,7,0,0,0,3,6,9,0,1,1,1,3,4,0,0,0,13,4,9,1,0,1,19622,9415,10207,8,0,19331,8,0,54585,27,0,93537,2,2,0,1,2,5,0,0,2,4,6,2,5,7,0,1,1,0,0,0
2018-06-01,1,0,5,0,2,0,2,0,0,0,4,1,3,0,0,0,6,1,5,0,0,0,1,3,4,0,0,0,0,2,2,0,0,0,6,1,5,0,0,0,19644,9392,10252,3,0,19367,3,0,54745,12,0,93756,0,1,0,0,0,4,0,0,1,2,3,0,3,3,0,0,0,0,0,0
2018-07-01,1,0,3,0,2,0,2,0,0,0,2,1,1,0,0,0,4,1,3,0,0,0,1,1,2,0,0,0,0,2,2,0,0,0,4,1,3,0,0,0,19666,9369,10297,3,0,19403,1,0,54906,8,0,93975,0,1,0,0,0,2,0,0,1,1,2,0,2,2,0,0,0,0,0,0
2018-08-01,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,19697,9379,10331,1,0,19425,4,0,55052,7,0,94174,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
2018-09-01,1,0,4,0,1,0,1,0,0,0,4,2,2,0,0,0,5,2,3,0,0,0,0,2,2,0,0,0,2,2,4,0,0,0,6,2,4,0,0,0,19728,9389,10364,6,0,19447,7,0,55199,18,0,94373,0,1,0,0,0,2,0,0,0,1,1,2,3,5,0,0,0,0,0,0
2018-10-01,2,0,2,0,3,1,2,0,0,0,1,0,1,0,0,0,4,1,3,0,0,0,3,4,7,1,0,1,2,2,4,0,0,0,11,5,6,1,1,0,19759,9399,10398,2,0,19469,4,0,55345,10,0,94573,0,2,0,0,0,1,0,0,2,2,4,3,4,7,1,0,1,0,0,0
2018-11-01,3,0,7,1,4,1,3,1,1,0,6,2,4,1,1,0,10,3,7,1,1,0,3,4,7,3,1,4,4,2,6,2,0,2,13,7,6,6,5,1,19790,9409,10431,5,1,19491,12,0,55492,27,2,94772,0,3,0,0,0,4,1,0,2,3,5,5,3,8,2,1,3,3,0,3
2018-12-01,5,2,23,10,10,4,6,4,4,0,18,12,6,8,7,1,28,16,12,12,11,1,34,20,54,29,8,37,17,10,27,9,2,11,81,51,30,48,38,11,19821,9420,10465,13,2,19513,16,2,55638,57,15,94972,2,3,2,0,2,9,9,1,26,16,42,25,14,39,21,8,28,18,3,21
2019-01-01,16,11,34,17,23,12,11,14,10,4,27,15,12,13,10,3,50,27,23,27,21,7,77,39,116,68,22,89,32,25,57,19,13,32,173,109,64,121,87,34,19852,9430,10499,22,11,19535,17,4,55785,89,42,95171,9,7,7,3,9,16,13,4,62,27,89,47,37,84,53,16,69,33,18,52
2019-02-01,21,17,28,16,33,4,29,22,1,21,16,6,10,11,5,6,49,10,39,32,6,27,15,86,101,9,71,80,5,15,20,4,11,15,121,20,101,94,13,81,19883,9440,10532,12,7,19556,19,9,55931,80,48,95371,1,20,0,17,1,19,6,10,9,72,81,11,29,40,7,60,67,6,22,27
2019-03-01,23,20,28,14,30,4,26,21,2,19,21,6,15,12,2,10,51,10,41,33,4,29,8,75,83,4,61,65,5,21,26,2,17,19,109,13,96,84,6,78,19914,9450,10566,15,8,19578,9,2,56078,75,43,95570,3,20,2,18,3,21,2,12,7,64,71,6,32,38,4,53,57,2,25,27
2019-04-01,13,7,8,4,17,4,13,10,0,10,4,1,3,1,0,1,21,5,16,11,0,11,5,41,46,0,26,26,4,8,12,0,5,5,58,9,49,32,0,32,19945,9460,10599,8,3,19600,8,0,56224,37,14,95770,4,9,0,7,4,7,0,4,5,31,36,4,18,22,0,20,20,0,12,12
2019-05-01,4,0,1,0,5,1,4,1,0,1,0,0,0,0,0,0,5,1,4,1,0,1,1,5,6,0,3,3,0,5,5,0,3,3,11,1,10,5,0,5,19976,9470,10633,3,1,19622,3,0,56371,11,2,95969,1,3,0,0,1,1,0,0,1,5,6,0,5,5,0,3,3,0,3,3
2019-06-01,1,0,2,0,2,0,2,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,4,4,0,0,0,2,4,6,0,1,1,10,2,8,1,0,1,20007,9480,10667,5,0,19644,3,0,56517,11,0,96169,0,1,0,0,0,2,0,0,0,2,2,2,6,8,0,0,0,0,1,1
